city,country,continent,months,image,description
Interlaken,Switzerland,Europe,"June, July, September",images/interlaken.jpg,"Mountains, Swiss, Alpine, adventurous, and adventure sports."
Lauterbrunnen,Switzerland,Europe,"June, July, September",images/lauterbrunnen.jpg,"Valley, Swiss, Alpine, tranquil, and waterfalls."
Grindelwald,Switzerland,Europe,"June, July, September",images/grindelwald.jpg,"Mountains, Swiss, Alpine, scenic, and mountain resorts."
Graubunden,Switzerland,Europe,"January, February, July",images/graubunden.jpg,"Mountains, Swiss, Romansh, traditional, and alpine valleys."
Ticino,Switzerland,Europe,"May, June, September",images/ticino.jpg,"Lakes, Swiss, Italian-speaking, relaxed, and Mediterranean character."
Geneva,Switzerland,Europe,"May, June, September",images/geneva.jpg,"Lakeside, Swiss, international, cosmopolitan, and Jet d'Eau."
Bern,Switzerland,Europe,"May, June, September",images/bern.jpg,"Riverine, Swiss, medieval, tranquil, and Old Town."
Zermatt,Switzerland,Europe,"June, July, August",images/zermatt.jpg,"Mountains, Swiss, Alpine, upscale, and Matterhorn."
Oslo,Norway,Europe,"June, July, August",images/oslo.jpg,"Coastal, Norwegian, Nordic, modern, and fjord landscapes."
Lofoten,Norway,Europe,"February, March, September",images/lofoten.jpg,"Islands, Norwegian, fishing, rugged, and Arctic landscapes."
Svalbard,Norway,Europe,"March, April, October",images/svalbard.jpg,"Arctic, Norwegian, polar, remote, and glaciers."
Flam,Norway,Europe,"June, July, August",images/flam.jpg,"Fjords, Norwegian, tranquil, scenic, and Flåm Railway."
Bergen,Norway,Europe,"June, July, August",images/bergen.jpg,"Coastal, Norwegian, historic, atmospheric, and fjord gateway."
Alesund,Norway,Europe,"June, July, August",images/alesund.jpg,"Coastal, Norwegian, Art Nouveau, picturesque, and island setting."
Stavanger,Norway,Europe,"June, July, August",images/stavanger.jpg,"Coastal, Norwegian, maritime, lively, and Lysefjord."
Tromso,Norway,Europe,"February, March, October",images/tromso.jpg,"Arctic, Norwegian, Sami, lively, and Northern Lights."
Stockholm,Sweden,Europe,"June, July, August",images/stockholm.jpg,"Archipelago, Swedish, royal, cosmopolitan, and island city."
Abisko,Sweden,Europe,"February, March, October",images/abisko.jpg,"Mountains, Sami, Swedish, remote, and Northern Lights."
Gothenburg,Sweden,Europe,"June, July, August",images/gothenburg.jpg,"Coastal, Swedish, maritime, relaxed, and archipelago."
Malmo,Sweden,Europe,"June, July, August",images/malmo.jpg,"Coastal, Swedish, multicultural, modern, and Öresund Bridge."
Uppsala,Sweden,Europe,"April, May, June",images/uppsala.jpg,"Urban, Swedish, academic, historic, and cathedral."
Visby,Sweden,Europe,"June, July, August",images/visby.jpg,"Island, Swedish, medieval, atmospheric, and city walls."
Kiruna,Sweden,Europe,"February, March, December",images/kiruna.jpg,"Arctic, Swedish, Sami, remote, and Icehotel."
Vatican City,Vatican City,Europe,"April, May, October",images/vatican-city.jpg,"Urban, Catholic, Renaissance, monumental, and St. Peter's Basilica."
Budapest,Hungary,Europe,"April, May, October",images/budapest.jpg,"Riverine, Hungarian, imperial, vibrant, and thermal baths."
Tokaj,Hungary,Europe,"May, September, October",images/tokaj.jpg,"Hills, Hungarian, wine-producing, tranquil, and Tokaji wine."
Brasov,Romania,Europe,"May, June, October",images/brasov.jpg,"Mountains, Romanian, Saxon, historic, and medieval old town."
Transylvania,Romania,Europe,"May, June, October",images/transylvania.jpg,"Mountains, Romanian, Saxon, atmospheric, and fortified churches."
Constanta,Romania,Europe,"June, July, August",images/constanta.jpg,"Coastal, Romanian, Roman, lively, and Black Sea."
Oradea,Romania,Europe,"May, June, September",images/oradea.jpg,"Riverine, Romanian, Austro-Hungarian, elegant, and Art Nouveau."
Maramures,Romania,Europe,"May, June, October",images/maramures.jpg,"Mountains, Romanian, traditional, pastoral, and wooden churches."
Bucovina,Romania,Europe,"May, June, October",images/bucovina.jpg,"Hills, Romanian, Orthodox, tranquil, and painted monasteries."
Danube Delta,Romania,Europe,"May, June, September",images/danube-delta.jpg,"Wetlands, Romanian, Lipovan, remote, and birdlife."
Sibiu,Romania,Europe,"May, June, September",images/sibiu.jpg,"Hills, Romanian, Saxon, historic, and Baroque squares."
Cluj-Napoca,Romania,Europe,"May, June, September",images/cluj-napoca.jpg,"Urban, Romanian, Transylvanian, youthful, and cultural scene."
Bucharest,Romania,Europe,"May, June, September",images/bucharest.jpg,"Urban, Romanian, Belle Époque, bustling, and Palace of Parliament."
Sofia,Bulgaria,Europe,"May, June, September",images/sofia.jpg,"Mountains, Bulgarian, Orthodox, cosmopolitan, and cathedrals."
Bansko,Bulgaria,Europe,"January, February, July",images/bansko.jpg,"Mountains, Bulgarian, Orthodox, resort-oriented, and Pirin Mountains."
Plovdiv,Bulgaria,Europe,"May, June, September",images/plovdiv.jpg,"Hills, Bulgarian, Roman, vibrant, and ancient theatre."
Veliko Tarnovo,Bulgaria,Europe,"May, June, September",images/veliko-tarnovo.jpg,"Hills, Bulgarian, medieval, historic, and Tsarevets Fortress."
Varna,Bulgaria,Europe,"June, July, September",images/varna.jpg,"Coastal, Bulgarian, Roman, lively, and Black Sea."
Luxembourg,Luxembourg,Europe,"May, June, September",images/luxembourg.jpg,"Riverine, Luxembourgish, medieval, cosmopolitan, and fortifications."
Vianden,Luxembourg,Europe,"May, June, October",images/vianden.jpg,"Hills, Luxembourgish, medieval, picturesque, and castle."
Eislek,Luxembourg,Europe,"May, June, October",images/eislek.jpg,"Hills, Luxembourgish, rural, tranquil, and Ardennes landscapes."
Mullerthal,Luxembourg,Europe,"May, June, October",images/mullerthal.jpg,"Forests, Luxembourgish, rural, tranquil, and sandstone formations."
Bruges,Belgium,Europe,"April, May, December",images/bruges.jpg,"Canals, Flemish, medieval, romantic, and historic center."
Leuven,Belgium,Europe,"April, May, September",images/leuven.jpg,"Urban, Flemish, medieval, lively, and university culture."
Ghent,Belgium,Europe,"April, May, December",images/ghent.jpg,"Riverine, Flemish, medieval, vibrant, and castle."
Antwerp,Belgium,Europe,"April, May, September",images/antwerp.jpg,"Riverine, Flemish, cosmopolitan, fashionable, and diamonds."
Brussels,Belgium,Europe,"April, May, December",images/brussels.jpg,"Urban, Belgian, European, cosmopolitan, and Grand Place."
Dinant,Belgium,Europe,"May, June, September",images/dinant.jpg,"Riverine, Walloon, medieval, picturesque, and citadel."
Copenhagen,Denmark,Europe,"June, July, August",images/copenhagen.jpg,"Coastal, Danish, royal, cosmopolitan, and cycling culture."
Bornholm,Denmark,Europe,"June, July, August",images/bornholm.jpg,"Island, Danish, Nordic, relaxed, and rocky coastline."
North Jutland,Denmark,Europe,"June, July, August",images/north-jutland.jpg,"Coastal, Danish, Nordic, windswept, and dunes."
Faroe Islands,Denmark,Europe,"June, July, August",images/faroe-islands.jpg,"Islands, Faroese, Nordic, remote, and dramatic cliffs."
Aarhus,Denmark,Europe,"June, July, August",images/aarhus.jpg,"Coastal, Danish, Viking, youthful, and modern architecture."
Odense,Denmark,Europe,"May, June, August",images/odense.jpg,"Urban, Danish, literary, historic, and Hans Christian Andersen."
Skagen,Denmark,Europe,"June, July, August",images/skagen.jpg,"Coastal, Danish, maritime, artistic, and Grenen."
Bratislava,Slovakia,Europe,"May, June, September",images/bratislava.jpg,"Riverine, Slovak, medieval, lively, and castle."
High Tatras,Slovakia,Europe,"January, February, July",images/high-tatras.jpg,"Mountains, Slovak, Alpine, adventurous, and hiking."
Orava,Slovakia,Europe,"May, June, October",images/orava.jpg,"Mountains, Slovak, rural, tranquil, and Orava Castle."
Bojnice,Slovakia,Europe,"May, June, September",images/bojnice.jpg,"Hills, Slovak, medieval, romantic, and castle."
Krakow,Poland,Europe,"April, May, September",images/krakow.jpg,"Urban, Polish, medieval, cultural, and Wawel Castle."
Malbork,Poland,Europe,"May, June, September",images/malbork.jpg,"Riverine, Polish, Teutonic, historic, and medieval castle."
Zakopane,Poland,Europe,"January, February, July",images/zakopane.jpg,"Mountains, Polish, Highlander, lively, and Tatra Mountains."
Masuria,Poland,Europe,"June, July, August",images/masuria.jpg,"Lakes, Polish, rural, tranquil, and sailing."
Bialowieza,Poland,Europe,"May, June, September",images/bialowieza.jpg,"Forests, Polish, traditional, pristine, and European bison."
Warsaw,Poland,Europe,"May, June, September",images/warsaw.jpg,"Urban, Polish, historic, cosmopolitan, and reconstructed Old Town."
Gdansk,Poland,Europe,"June, July, August",images/gdansk.jpg,"Coastal, Polish, Hanseatic, historic, and Baltic waterfront."
Poznan,Poland,Europe,"May, June, September",images/poznan.jpg,"Urban, Polish, medieval, lively, and Renaissance town hall."
Lisbon,Portugal,Europe,"April, May, September",images/lisbon.jpg,"Coastal, Portuguese, maritime, vibrant, and tiled architecture."
Evora,Portugal,Europe,"April, May, October",images/evora.jpg,"Plains, Portuguese, Roman, historic, and Roman temple."
Nazare,Portugal,Europe,"June, July, August",images/nazare.jpg,"Coastal, Portuguese, maritime, lively, and giant waves."
Obidos,Portugal,Europe,"April, May, September",images/obidos.jpg,"Hills, Portuguese, medieval, romantic, and fortified walls."
Azores,Portugal,Europe,"June, July, August",images/azores.jpg,"Islands, Portuguese, volcanic, tranquil, and geothermal landscapes."
Alentejo,Portugal,Europe,"April, May, October",images/alentejo.jpg,"Plains, Portuguese, rural, tranquil, and cork oak landscapes."
Porto,Portugal,Europe,"May, June, September",images/porto.jpg,"Riverine, Portuguese, maritime, atmospheric, and port wine."
Sintra,Portugal,Europe,"April, May, September",images/sintra.jpg,"Hills, Portuguese, Romanticist, dreamy, and palaces."
Algarve,Portugal,Europe,"June, July, September",images/algarve.jpg,"Coastal, Portuguese, Mediterranean, relaxed, and sea cliffs."
Amsterdam,Netherlands,Europe,"April, May, September",images/amsterdam.jpg,"Canals, Dutch, Golden Age, lively, and cycling culture."
Wadden Islands,Netherlands,Europe,"June, July, August",images/wadden-islands.jpg,"Islands, Dutch, Frisian, windswept, and tidal landscapes."
Kinderdijk,Netherlands,Europe,"April, May, September",images/kinderdijk.jpg,"Wetlands, Dutch, historic, serene, and windmills."
Rotterdam,Netherlands,Europe,"May, June, September",images/rotterdam.jpg,"Riverine, Dutch, modern, cosmopolitan, and contemporary architecture."
Utrecht,Netherlands,Europe,"April, May, September",images/utrecht.jpg,"Canals, Dutch, medieval, lively, and wharf cellars."
Den Haag,Netherlands,Europe,"June, July, September",images/den-haag.jpg,"Coastal, Dutch, royal, cosmopolitan, and Peace Palace."
Delft,Netherlands,Europe,"April, May, September",images/delft.jpg,"Canals, Dutch, Golden Age, picturesque, and Delftware."
Novi Sad,Serbia,Europe,"May, June, September",images/novi-sad.jpg,"Riverine, Serbian, Austro-Hungarian, lively, and Petrovaradin Fortress."
Belgrade,Serbia,Europe,"May, June, September",images/belgrade.jpg,"Riverine, Serbian, Ottoman, energetic, and fortress."
Berat,Albania,Europe,"May, June, September",images/berat.jpg,"Hills, Albanian, Ottoman, historic, and whitewashed houses."
Theth,Albania,Europe,"June, July, September",images/theth.jpg,"Mountains, Albanian, traditional, remote, and stone towers."
Korce,Albania,Europe,"May, June, September",images/korce.jpg,"Mountains, Albanian, Ottoman, relaxed, and old bazaar."
Shkoder,Albania,Europe,"May, June, September",images/shkoder.jpg,"Lakeside, Albanian, Ottoman, lively, and Rozafa Castle."
Gjirokaster,Albania,Europe,"May, June, September",images/gjirokaster.jpg,"Hills, Albanian, Ottoman, historic, and stone houses."
Sarande,Albania,Europe,"June, July, September",images/sarande.jpg,"Coastal, Albanian, Mediterranean, lively, and Ionian beaches."
Dubrovnik,Croatia,Europe,"May, June, September",images/dubrovnik.jpg,"Coastal, Croatian, medieval, atmospheric, and city walls."
Dalmatia,Croatia,Europe,"June, July, September",images/dalmatia.jpg,"Coastal, Croatian, Venetian, vibrant, and Adriatic islands."
Hvar,Croatia,Europe,"June, July, September",images/hvar.jpg,"Island, Croatian, Venetian, lively, and lavender fields."
Korcula,Croatia,Europe,"June, July, September",images/korcula.jpg,"Island, Croatian, Venetian, tranquil, and medieval old town."
Zadar,Croatia,Europe,"June, July, September",images/zadar.jpg,"Coastal, Croatian, Roman, atmospheric, and Sea Organ."
Sibenik,Croatia,Europe,"June, July, September",images/sibenik.jpg,"Coastal, Croatian, Venetian, historic, and medieval fortress."
Split,Croatia,Europe,"June, July, September",images/split.jpg,"Coastal, Croatian, Roman, lively, and Diocletian's Palace."
Rovinj,Croatia,Europe,"June, July, September",images/rovinj.jpg,"Coastal, Croatian, Venetian, romantic, and colorful old town."
Zabljak,Montenegro,Europe,"June, July, September",images/zabljak.jpg,"Mountains, Montenegrin, Balkan, adventurous, and Durmitor."
Perast,Montenegro,Europe,"May, June, September",images/perast.jpg,"Coastal, Montenegrin, Venetian, tranquil, and island churches."
Cetinje,Montenegro,Europe,"May, June, September",images/cetinje.jpg,"Mountains, Montenegrin, royal, historic, and former capital."
Athens,Greece,Europe,"April, May, October",images/athens.jpg,"Urban, Greek, ancient, bustling, and Acropolis."
Crete,Greece,Europe,"June, July, September",images/crete.jpg,"Island, Greek, Minoan, diverse, and Samaria Gorge."
Santorini,Greece,Europe,"May, June, September",images/santorini.jpg,"Island, Greek, Cycladic, romantic, and caldera."
Mykonos,Greece,Europe,"June, July, September",images/mykonos.jpg,"Island, Greek, Cycladic, lively, and windmills."
Rhodes,Greece,Europe,"June, July, September",images/rhodes.jpg,"Island, Greek, medieval, vibrant, and Palace of the Grand Master."
Peloponnese,Greece,Europe,"May, June, September",images/peloponnese.jpg,"Peninsula, Greek, ancient, diverse, and archaeological ruins."
Delphi,Greece,Europe,"April, May, October",images/delphi.jpg,"Mountains, Greek, ancient, spiritual, and Oracle of Apollo."
Cyclades,Greece,Europe,"June, July, September",images/cyclades.jpg,"Islands, Greek, Cycladic, picturesque, and whitewashed villages."
Macedonia,Greece,Europe,"May, June, September",images/macedonia.jpg,"Mountains, Greek, Byzantine, diverse, and Mount Olympus."
Epirus,Greece,Europe,"May, June, September",images/epirus.jpg,"Mountains, Greek, Ottoman, rugged, and Zagori villages."
Corfu,Greece,Europe,"June, July, September",images/corfu.jpg,"Island, Greek, Venetian, elegant, and olive groves."
Naxos,Greece,Europe,"June, July, September",images/naxos.jpg,"Island, Greek, Cycladic, relaxed, and mountain villages."
Paros,Greece,Europe,"June, July, September",images/paros.jpg,"Island, Greek, Cycladic, lively, and marble villages."
Nafplio,Greece,Europe,"May, June, September",images/nafplio.jpg,"Coastal, Greek, Venetian, romantic, and Palamidi Fortress."
Sigulda,Latvia,Europe,"May, June, October",images/sigulda.jpg,"Forests, Latvian, medieval, tranquil, and Gauja Valley."
Saaremaa,Estonia,Europe,"June, July, August",images/saaremaa.jpg,"Island, Estonian, Baltic, tranquil, and juniper landscapes."
Viljandi,Estonia,Europe,"May, June, July",images/viljandi.jpg,"Lakeside, Estonian, medieval, laid-back, and folk culture."
Vilnius,Lithuania,Europe,"May, June, September",images/vilnius.jpg,"Urban, Lithuanian, Baroque, atmospheric, and Old Town."
Palanga,Lithuania,Europe,"June, July, August",images/palanga.jpg,"Coastal, Lithuanian, Baltic, relaxed, and sandy beaches."
Kernave,Lithuania,Europe,"May, June, September",images/kernave.jpg,"Riverine, Lithuanian, medieval, tranquil, and archaeological site."
Edinburgh,Scotland,Europe,"May, June, August",images/edinburgh.jpg,"Hills, Scottish, medieval, atmospheric, and castle."
Skye,Scotland,Europe,"May, June, September",images/skye.jpg,"Island, Scottish, Gaelic, rugged, and dramatic landscapes."
Orkney,Scotland,Europe,"June, July, August",images/orkney.jpg,"Islands, Scottish, Neolithic, remote, and ancient sites."
Shetland,Scotland,Europe,"June, July, August",images/shetland.jpg,"Islands, Scottish, Norse, windswept, and seabird colonies."
Argyll,Scotland,Europe,"May, June, September",images/argyll.jpg,"Coastal, Scottish, Gaelic, tranquil, and sea lochs."
Saint Andrews,Scotland,Europe,"May, June, September",images/saint-andrews.jpg,"Coastal, Scottish, medieval, refined, and golf heritage."
Outer Hebrides,Scotland,Europe,"June, July, August",images/outer-hebrides.jpg,"Islands, Scottish, Gaelic, remote, and white-sand beaches."
Glasgow,Scotland,Europe,"May, June, September",images/glasgow.jpg,"Urban, Scottish, industrial, vibrant, and music culture."
Stirling,Scotland,Europe,"May, June, September",images/stirling.jpg,"Hills, Scottish, medieval, historic, and Stirling Castle."
London,England,Europe,"May, June, September",images/london.jpg,"Urban, English, royal, cosmopolitan, and iconic landmarks."
Bath,England,Europe,"April, May, September",images/bath.jpg,"Riverine, English, Roman, elegant, and thermal baths."
Cambridge,England,Europe,"April, May, September",images/cambridge.jpg,"Riverine, English, academic, historic, and university colleges."
Liverpool,England,Europe,"May, June, September",images/liverpool.jpg,"Coastal, English, maritime, vibrant, and music heritage."
Dorset,England,Europe,"June, July, September",images/dorset.jpg,"Coastal, English, rural, tranquil, and Jurassic Coast."
Devon,England,Europe,"June, July, September",images/devon.jpg,"Coastal, English, rural, relaxed, and sandy beaches."
Cotswolds,England,Europe,"May, June, September",images/cotswolds.jpg,"Hills, English, rural, picturesque, and honey-stone villages."
Yorkshire,England,Europe,"May, June, September",images/yorkshire.jpg,"Hills, English, industrial, rugged, and Yorkshire Dales."
Oxford,England,Europe,"April, May, September",images/oxford.jpg,"Riverine, English, academic, historic, and university colleges."
Manchester,England,Europe,"May, June, September",images/manchester.jpg,"Urban, English, industrial, energetic, and football culture."
Bristol,England,Europe,"May, June, September",images/bristol.jpg,"Riverine, English, maritime, creative, and street art."
Pembrokeshire,Wales,Europe,"June, July, September",images/pembrokeshire.jpg,"Coastal, Welsh, rural, tranquil, and coastal path."
Tenby,Wales,Europe,"June, July, September",images/tenby.jpg,"Coastal, Welsh, medieval, relaxed, and colorful harbor."
Llandudno,Wales,Europe,"June, July, September",images/llandudno.jpg,"Coastal, Welsh, Victorian, elegant, and Great Orme."
Anglesey,Wales,Europe,"June, July, September",images/anglesey.jpg,"Island, Welsh, Celtic, tranquil, and coastal landscapes."
Dublin,Ireland,Europe,"May, June, September",images/dublin.jpg,"Coastal, Irish, Georgian, lively, and literary heritage."
Cork,Ireland,Europe,"May, June, September",images/cork.jpg,"Riverine, Irish, maritime, lively, and food culture."
Kerry,Ireland,Europe,"May, June, September",images/kerry.jpg,"Mountains, Irish, Gaelic, rugged, and Ring of Kerry."
Donegal,Ireland,Europe,"June, July, September",images/donegal.jpg,"Coastal, Irish, Gaelic, remote, and dramatic cliffs."
Clare,Ireland,Europe,"June, July, September",images/clare.jpg,"Coastal, Irish, Gaelic, rugged, and Cliffs of Moher."
Aran Islands,Ireland,Europe,"June, July, September",images/aran-islands.jpg,"Islands, Irish, Gaelic, traditional, and stone walls."
